Disease	Type
"Classic Hodgkin Lymphoma, Mixed Cellularity Type"	"1,8,19,24"
Smoldering Systemic Mastocytosis	"1,24"
Congenital Prekallikrein Deficiency	"1,3,24"
Rare Deficiency Anemia	"1,24"
Cecum Lymphoma	"1,7,8,19"
Non-Severe Combined Immunodeficiency	"1,8,24"
Transient Neonatal Neutropenia	"1,20"
Congenital Pulmonary Sequestration	"1,16,20,24"
White Platelet Syndrome	"1,24"
Acquired Factor X Deficiency	"1,24"
Glutathione Synthetase Deficiency of Erythrocytes	"1,13,21,23,24"
Inflammatory Bowel Disease-Recurrent Sinopulmonary Infections Syndrome	"1,7,8,24"
Multiple Sclerosis-Ichthyosis-Factor Viii Deficiency Syndrome	"1,6,17,24"
Acanthocheilonemiasis	"1,24"
Acquired Factor V Deficiency	"1,24"
Non-Amyloid Monoclonal Immunoglobulin Deposition Disease	"1,8,12,24"
Alpha Delta Granule Deficiency	"1,24"
Acquired Factor Xi Deficiency	"1,24"
Neutropenia-Monocytopenia-Deafness Syndrome	"1,4,20,24"
Constitutional Neutropenia	"1,24"
Acute Myeloid Leukemia with Recurrent Genetic Anomaly	"1,19,24"
Polyclonal Hyperviscosity Syndrome	"1,24"
Dendritic Cell Sarcoma Not Otherwise Specified	"1,19,24"
Bleeding Disorder Due to P2y12 Defect	"1,24"
Primary Lymphoma of the Conjunctiva	"1,8,24"
Acute Myeloid Leukemia with Mutated Runx1	"1,19"
Autosomal Thrombocytopenia with Normal Platelets	"1,24"
Acute Myeloid Leukemia with Mutated Cebpa	"1,19,21"
Hemolytic Disease of the Newborn with Kell Alloimmunization	"1,24"
Neonatal-Onset Severe Multisystemic Autoinflammatory Disease with Increased Il18	"1,2,17,24"
Unstable Hemoglobin Disease	"1,24"
T-Cell Childhood Lymphoblastic Lymphoma	"1,8,19"
Hemoglobinopathy Toms River	"1,24"
Isolated Delta-Storage Pool Disease	"1,24"
Autosomal Recessive Secondary Polycythemia Not Associated with Vhl Gene	"1,24"
Infantile-Onset Pulmonary Alveolar Proteinosis-Hypogammaglobulinemia	"1,16,24"
Lymphoid Hemopathy	"1,8,24"
Isolated Hereditary Giant Platelet Disorder	"1,24"
Ezb-Myc+ Diffuse Large B-Cell Lymphoma	"1,8,19"
Extramedullary Soft Tissue Plasmacytoma	"1,13,24"
Isolated Constitutional Thrombocytopenia	"1,24"
Lymphoplasmacytic Lymphoma Without Igm Production	"1,8,24"
Acute Myeloid Leukemia and Myelodysplastic Syndromes Related to Alkylating Agent	"1,19,24"
Diffuse Large B-Cell Lymphoma with Chronic Inflammation	"1,2,8,24"
Immune Dysregulation Disease with Immunodeficiency	"1,8,24"
Autosomal Recessive Mendelian Susceptibility to Mycobacterial Diseases Due to Partial Jak1 Deficiency	"1,24"
Predisposition to Severe Viral Infection Due to Irf7 Deficiency	"1,22,24"
Acute Myeloid Leukemia and Myelodysplastic Syndromes Related to Radiation	"1,19,24"
Acute Myeloid Leukemia with Biallelic Mutation of Cebpa	"1,19"
Immune Dysregulation-Inflammatory Bowel Disease-Arthritis-Recurrent Infections S	"1,2,7,8,24"
Hyper-Igm Syndrome Without Susceptibility to Opportunistic Infections	"1,8,24"
Beta-Thalassemia Associated with Another Hemoglobin Anomaly	"1,24"
Immunodeficiency Due to a Complement Cascade Protein Anomaly	"1,8,24"
Macrothrombocytopenia with Mitral Valve Insufficiency	"1,24"
"Classic Hodgkin Lymphoma, Lymphocyte-Rich Type"	"1,8,24"
Primary Immunodeficiency Due to a Defect in Innate Immunity	"1,8,24"
Autosomal Dominant Mendelian Susceptibility to Mycobacterial Diseases Due to a Partial Deficiency	"1,24"
Primary Acquired Red Cell Aplasia	"1,24"
Autosomal Recessive Mendelian Susceptibility to Mycobacterial Diseases Due to a Partial Deficiency	"1,24"
Dna Repair Defect Other Than Combined T-Cell and B-Cell Immunodeficiencies	"1,8,24"
Sickle Cell Disease Associated with Another Hemoglobin Anomaly	"1,24"
Constitutional Sideroblastic Anemia	"1,24"
Constitutional Dyserythropoietic Anemia	"1,24"
Factor V Short Isoforms-Related Bleeding Disorder	"1,24"
Immunodeficiency with Isotype or Light Chain Deficiencies with Normal Number of B-Cells	"1,8,24"
Immunodeficiency with Severe Reduction in Serum Igg and Iga with Normal/elevated Igm and Normal Number of B-Cells	"1,8,24"
Beta-Thalassemia with Other Manifestations	"1,24"
Primary Organ-Specific Lymphoma	"1,8,24"
Immunodeficiency Due to Absence of Thymus	"1,8,24"
Syndromic Agammaglobulinemia	"1,24"
Factor V Atlanta Bleeding Disorder	"1,24"
Rare Constitutional Anemia	"1,23,24"
Rare Acquired Deficiency Anemia	"1,24"
Constitutional Neutropenia with Extra-Hematopoietic Manifestations	"1,24"
Other Immunodeficiency Syndrome with Predominantly Antibody Defects	"1,8,24"
Macrophage or Histiocytic Tumor	"1,24"
Constitutional Deficiency Anemia	"1,24"
Quantitative and/or Qualitative Congenital Phagocyte Defect	"1,24"
Femoral Vein Thrombophlebitis	"1,3,14"
Budd-Chiari Syndrome	"1,3,7,9,21,24"
Vascular Disease	"1,3,13,24"
Exudative Vitreoretinopathy	"1,3,6,13,21,24"
Vasculitis	"1,2,3,8,24"
Gastric Cancer	"1,7,8,19,21,24"
Bladder Cancer	"1,12,19,21,24"
"Hyperlipoproteinemia, Type Iii"	"1,3,5,21,23,24"
Respiratory Failure	"1,13,16,22,24"
Pheochromocytoma	"1,5,13,19,21,24"
Galactosemia I	"1,5,6,7,9,12,13,15,21,23,24"
Adult Respiratory Distress Syndrome	"1,3,16,24"
Angiosarcoma	"1,3,8,19,20,24"
Hyperkalemic Periodic Paralysis	"1,11,13,14,21,23,24"
"Erythermalgia, Primary"	"1,6,13,21,24"
Malignant Hyperthermia	"1,2,11,12,13,16,19,21,23,24"
Cystinosis	"1,5,6,12,21,23,24"
Allergic Contact Dermatitis	"1,8,17"
"Tubulointerstitial Kidney Disease, Autosomal Dominant, 1"	"1,12,21,24"
Left Ventricular Noncompaction	"1,3,11,20,21,24"
Supravalvular Aortic Stenosis	"1,3,16,20,21,24"
Restrictive Cardiomyopathy	"1,3,16,21,24"
Aneurysmal Bone Cysts	"1,2,13,19,24"
Kaposiform Hemangioendothelioma	"1,3,19,20,24"
"Leukemia, Chronic Lymphocytic"	"1,8,19,24"
"Agammaglobulinemia, X-Linked"	"1,8,21,24"
Coronary Heart Disease 1	"1,3,11,21"
Aplastic Anemia	"1,2,8,21,24"
Common Variable Immunodeficiency	"1,8,21,24"
Porphyria Cutanea Tarda	"1,5,9,12,17,21,23,24"
Immune Thrombocytopenia	"1,8,24"
Nervous System Disease	"1,8,13,24"
Thrombocytopenia	"1,2,8,21,24"
Atherosclerosis Susceptibility	"1,3"
Hemolytic Anemia	"1,8,20,23,24"
"Hypereosinophilic Syndrome, Idiopathic"	"1,13,21,24"
Beta-Thalassemia Major	"1,5,8,12,16,21,24"
Thalassemia	"1,5,8,9,12,21,24"
Nephrotic Syndrome	"1,5,8,10,12,21,23,24"
Hyperglycemia	"1,5,21,23"
Thrombotic Thrombocytopenic Purpura	"1,12,21,24"
Factor V Deficiency	"1,16,18,21,24"
Hemophagocytic Lymphohistiocytosis	"1,8,9,13,21,24"
Immunodeficiency 21	"1,8,21,24"
Lymphoproliferative Syndrome	"1,8,19,21,22,24"
"Erythrocytosis, Familial, 2"	"1,19,21,23,24"
Gastrointestinal Defects and Immunodeficiency Syndrome 1	"1,5,7,20,21,24"
Bartter Disease	"1,4,12,20,21,23,24"
Acute Megakaryocytic Leukemia	"1,19,24"
Langerhans Cell Histiocytosis	"1,2,8,16,19,24"
Hypokalemia	"1,5,23"
Griscelli Syndrome	"1,6,8,13,17,21,22,24"
Lymphopenia	"1,8"
Hyper Ige Syndrome	"1,8,16,17,24"
Polycythemia	"1,8,16,21,24"
Immunodeficiency 23	"1,8,13,21,23,24"
Hemoglobinopathy	"1,24"
Factor Xii Deficiency	"1,21"
Diabetic Neuropathy	"1,12,13"
Marginal Zone Lymphoma	"1,8,19,24"
Prothrombin Deficiency	"1,21,24"
Hemorrhagic Disease	"1,8,24"
Coats Disease	"1,3,6,13,20,24"
Pernicious Anemia	"1,23,24"
"Atypical Chronic Myeloid Leukemia, Bcr-Abl1 Negative"	"1,19,24"
Ras-Associated Autoimmune Leukoproliferative Disorder	"1,8,21,24"
Immunodeficiency 35	"1,8,21,22,24"
Combined Immunodeficiency Due to Dock8 Deficiency	"1,17,24"
Thiamine-Responsive Megaloblastic Anemia Syndrome	"1,4,5,20,21,23,24"
Hypersplenism	"1,8"
Compartment Syndrome	"1,3,10,11,24"
Persistent Mullerian Duct Syndrome	"1,5,15,19,20,21,24"
Eosinophilic Pneumonia	"1,8,16,24"
Renal Tubular Acidosis	"1,12,23,24"
Thrombophilia	"1,2,3,8,16,21,24"
Periventricular Leukomalacia	"1,13,24"
Amebiasis	"1,7,22"
Dysentery	"1,7"
Hereditary Elliptocytosis	"1,8,21,24"
"Chronic Myelogenous Leukemia, Bcr-Abl1 Positive"	"1,19"
Herpes Simplex Virus Encephalitis	"1,10,13,14,22,24"
Analbuminemia	"1,2,21,24"
Bladder Disease	"1,12"
Peripheral Artery Disease	"1,3"
Hoyeraal-Hreidarsson Syndrome	"1,8,13,20,24"
Histiocytic Sarcoma	"1,8,19,24"
Splenic Marginal Zone Lymphoma	"1,2,8,19,24"
Myeloid Sarcoma	"1,19,24"
"Immune Dysregulation with Autoimmunity, Immunodeficiency, and Lymphoproliferation"	"1,7,21,24"
Macrophage Activation Syndrome	"1,2,24"
Immunodeficiency 16	"1,8,19,21,24"
Good Syndrome	"1,8,24"
Splenomegaly	"1,8,24"
"Sideroblastic Anemia with B-Cell Immunodeficiency, Periodic Fevers, and Developmental Delay"	"1,21,24"
Sheehan Syndrome	"1,5,24"
Jacobsen Syndrome	"1,6,20,21,24"
Childhood Acute Lymphocytic Leukemia	"1,8,19,24"
Lipoid Nephrosis	"1,12,24"
Immunodeficiency 104	"1,8,9,14,21,24"
Glutamate Formiminotransferase Deficiency	"1,21,23,24"
Chronic Lymphocytic Leukemia/small Lymphocytic Lymphoma	"1,8,19"
Precursor T-Cell Acute Lymphoblastic Leukemia	"1,8,19,24"
Malignant Hypertension	"1,3,12,15,19,21,24"
"Heart Block, Congenital"	"1,3,16,21,24"
Erythromelalgia	"1,13,17,21,24"
"Methylmalonic Aciduria and Homocystinuria, Cblf Type"	"1,10,13,21,23,24"
Mast Cell Neoplasm	"1,19"
"Factor V and Factor Viii, Combined Deficiency of, 2"	"1,21,24"
Interdigitating Dendritic Cell Sarcoma	"1,19,24"
"Thrombocytopenia with Beta-Thalassemia, X-Linked"	"1,21,24"
"Methylmalonic Aciduria and Homocystinuria, Cbld Type"	"1,12,13,21,23,24"
Granulocytopenia	"1,8,24"
Myeloperoxidase Deficiency	"1,8,21,24"
High Molecular Weight Kininogen Deficiency	"1,21,24"
Varicocele	"1,3,15"
Blue Rubber Bleb Nevus	"1,3,7,17,20,24"
Childhood Acute Myeloid Leukemia	"1,19"
Langerhans Cell Sarcoma	"1,19,24"
Immunodeficiency 29	"1,8,10,21,24"
Congenital Intrinsic Factor Deficiency	"1,21,23,24"
"Isolated Growth Hormone Deficiency, Type Iii, with Agammaglobulinemia"	"1,2,5,21,24"
Immunodeficiency 24	"1,8,21,22,24"
Congenital Factor Xiii Deficiency	"1,24"
Primary Effusion Lymphoma	"1,8,13,19,24"
"Autoimmune Hemolytic Anemia, Warm Type"	"1,8,24"
Immunoglobulin Kappa Light Chain Deficiency	"1,8,21,24"
Gray Zone Lymphoma	"1,8,19,24"
Bone Lymphoma	"1,2,8,19,24"
Histiocytic and Dendritic Cell Cancer	"1,19"
Immunodeficiency 31a	"1,8,21,24"
Complement Factor H Deficiency	"1,8,12,21,24"
"Vitamin K-Dependent Clotting Factors, Combined Deficiency of, 2"	"1,14,21"
Takenouchi-Kosaki Syndrome	"1,3,13,17,20,21,24"
Systemic Mastocytosis with Associated Hematologic Neoplasm	"1,19,24"
Mature B-Cell Neoplasm	"1,8,19"
Hereditary Cerebral Amyloid Angiopathy	"1,2,3,4,10,11,13,21,23,24"
"Thrombophilia Due to Protein C Deficiency, Autosomal Recessive"	"1,21,24"
Blastic Plasmacytoid Dendritic Cell Neoplasm	"1,19,24"
Breast Implant-Associated Anaplastic Large Cell Lymphoma	"1,8,19"
Heavy Chain Disease	"1,7,8,19,24"
Immunodeficiency 46	"1,8,21,24"
Chromosome 8p11 Myeloproliferative Syndrome	"1,8,9,19,24"
Masp2 Deficiency	"1,8,16,21,24"
Lung Lymphoma	"1,8,16,19"
Refractory Hairy Cell Leukemia	"1,8,19"
Acute Leukemia of Ambiguous Lineage	"1,19,24"
Acute Panmyelosis with Myelofibrosis	"1,2,8,19,24"
Null-Cell Leukemia	"1,8,19"
Anhaptoglobinemia	"1,10,21"
Pthirus Pubis Infestation	"1,6,22"
Pulmonary Aspergilloma	"1,16,22"
Solitary Mastocytoma of the Skin	"1,17,19"
Septicemic Plague	"1,3,22"
Primary Cutaneous T-Cell Lymphoma	"1,8,17,19,24"
Thrombophilia Due to Hrg Deficiency	"1,2,21,24"
Alk-Positive Anaplastic Large Cell Lymphoma	"1,8,19,24"
Transient Hypogammaglobulinemia	"1,8,24"
B-Lymphoblastic Leukemia/lymphoma with Iamp21	"1,8,19"
Liver Lymphoma	"1,7,8,9,19"
Congenital Factor Xii Deficiency	"1,24"
Acute Myeloid Leukemia with Bcr-Abl1	"1,19"
Congenital Plasminogen Activator Inhibitor Type 1 Deficiency	"1,24"
Osteosclerotic Myeloma	"1,2,19"
Maleylacetoacetate Isomerase Deficiency	"1,9,12,21"
Large Granular Lymphocyte Leukemia	"1,8,19,24"
Tafro Syndrome	"1,2,8,12,24"
Myeloid and Lymphoid Neoplasms Associated with Fgfr1 Abnormalities	"1,8,19"
Familial Hypofibrinogenemia	"1,21,24"
"Autoimmune Hemolytic Anemia, Cold Type"	"1,8,24"
Properdin Deficiency	"1,8,24"
Heart Lymphoma	"1,3,8,19"
Immunotactoid Glomerulopathy	"1,8,12,24"
Alk-Positive Large B-Cell Lymphoma	"1,8,19,24"
"Immunodeficiency, Developmental Delay, and Hypohomocysteinemia"	"1,8,10,13,21,23,24"
Prostate Lymphoma	"1,8,15,19"
"Autoinflammatory Syndrome, Familial, with or Without Immunodeficiency"	"1,8,9,21"
"Macular Degeneration, Early-Onset"	"1,6,13,21"
May-Thurner Syndrome	"1,3,14,24"
Acute Megakaryoblastic Leukemia Without Down Syndrome	"1,19,24"
Microcytic Anemia with Liver Iron Overload	"1,9,23,24"
Baroreflex Failure	"1,13,24"
"Exocrine Pancreatic Insufficiency, Dyserythropoietic Anemia, and Calvarial Hyperostosis"	"1,5,7,21,23,24"
Acute Myeloid Leukemia Without Maturation	"1,19"
Heavy Chain Deposition Disease	"1,12,19,24"
Hodgkin's Paragranuloma	"1,8,19"
Hodgkin's Granuloma	"1,8,19"
Folliculotropic Mycosis Fungoides	"1,17,24"
Alg1-Congenital Disorder of Glycosylation	"1,6,8"
Subleukemic Leukemia	"1,19,24"
Combined Immunodeficiency Due to Partial Rag1 Deficiency	"1,8,24"
Retroperitoneal Lymphoma	"1,8,19"
Hereditary Persistence of Fetal Hemoglobin-Sickle Cell Disease Syndrome	"1,20,24"
Mcd Diffuse Large B-Cell Lymphoma	"1,8,19"
Sternum Lymphoma	"1,2,8,19"
Immunodeficiency 102	"1,8,21,22"
Lichtenstein Syndrome	"1,2,8,21,24"
Aleukemic Leukemia Cutis	"1,19"
Immunodeficiency 69	"1,8,9,21"
Mendelian Susceptibility to Mycobacterial Diseases	"1,8,10,24"
Cor Triatriatum Sinister	"1,3,16,20,24"
Aggressive B-Cell Non-Hodgkin Lymphoma	"1,8,24"
Acute Myeloid Leukemia with Maturation	"1,19"
Say-Barber-Miller Syndrome	"1,8,10,13,20,24"
Indeterminate Cell Histiocytosis	"1,2,17,19,24"
B-Lymphoblastic Leukemia/lymphoma with Etv6-Runx1	"1,8,19"
Childhood Acute Megakaryoblastic Leukemia	"1,19"
Indolent B-Cell Non-Hodgkin Lymphoma	"1,8,24"
Immunodeficiency Due to a Late Component of Complement Deficiency	"1,8,24"
Immunodeficiency Due to Selective Anti-Polysaccharide Antibody Deficiency	"1,8,24"
Disorder of Bile Acid Synthesis	"1,5,7,9,12,13,21,23,24"
Laron Syndrome with Immunodeficiency	"1,5,7,8,24"
Transient Neonatal Thrombocytopenia	"1,20"
Methotrexate-Associated Lymphoproliferative Disorders	"1,8,24"
"Leukemia, T-Cell, Chronic"	"1,2,8,19,24"
Monoclonal Mast Cell Activation Syndrome	"1,7,8,24"
Splenic Diffuse Red Pulp Small B-Cell Lymphoma	"1,8,24"
"Immunodeficiency, Ovarian Dysgenesis, and Pulmonary Fibrosis"	"1,5,8,15,16,20,24"
Primary Cutaneous Peripheral T-Cell Lymphoma Not Otherwise Specified	"1,8,17,24"
Dianzani Autoimmune Lymphoproliferative Disease	"1,8,24"
Acquired Hemophagocytic Lymphohistiocytosis Associated with Malignant Disease	"1,8,19,24"
Acute Promyelocytic Leukemia with Pml-Rara	"1,19"
Congenital Alpha2-Antiplasmin Deficiency	"1,2,24"
Streptococcus Pneumoniae-Associated Hemolytic Uremic Syndrome	"1,12,24"
Severe Hereditary Thrombophilia Due to Congenital Protein C Deficiency	"1,2,24"
Bullous Diffuse Cutaneous Mastocytosis	"1,17,24"
Warts-Immunodeficiency-Lymphedema-Anogenital Dysplasia Syndrome	"1,3,8,17,20,24"
X-Linked Corneal Dermoid	"1,6,21,24"
Primary Cutaneous Cd4+ Small/medium-Sized Pleomorphic T-Cell Lymphoma	"1,8,17,24"
B-Lymphoblastic Leukemia/lymphoma Mll Rearranged	"1,8,19"
Combined Immunodeficiency Due to Crac Channel Dysfunction	"1,8,24"
Rare Coagulation Disorder	"1,24"
Lymphocytic Hypereosinophilic Syndrome	"1,8,24"
"Thumb Agenesis, Short Stature, and Immunodeficiency"	"1,8,24"
Acute Myeloid Leukemia with Mutated Npm1	"1,19"
Alopecia Antibody Deficiency	"1,8,17,24"
Aleukemic Monocytic Leukemia Cutis	"1,19"
Pseudoxanthomatous Diffuse Cutaneous Mastocytosis	"1,17,24"
Congenital Autosomal Recessive Small-Platelet Thrombocytopenia	"1,24"
Immunodeficiency-Associated Lymphoproliferative Disease	"1,8,19,24"
Distal Renal Tubular Acidosis with Anemia	"1,12,24"
Medich Giant Platelet Syndrome	"1,24"
Cadins Disease	"1,17,24"
Anti-Hla Hyperimmunization	"1,12,24"
Erythropoietin Polycythemia	"1,12,21"
Cavernous Hemangioma of Colon	"1,7"
Unclassified Acute Myeloid Leukemia	"1,19,24"
Acute Myeloid Leukemia with Npm1 Somatic Mutations	"1,8,19,24"
Familial Thrombomodulin Anomalies	"1,21,24"
Nodular Urticaria Pigmentosa	"1,17,24"
Aggressive Primary Cutaneous T-Cell Lymphoma	"1,8,17,24"
Dermal Unilateral Segmental Cavernous Angioma	"1,10,17"
Acute Myeloid Leukemia and Myelodysplastic Syndromes Related to Topoisomerase Type 2 Inhibitor	"1,19,24"
Immune Deficiency Due to Impaired Neutrophil Phagocytosis and Migration	"1,8,24"
Familial Hyperinflammatory Lymphoproliferative Immunodeficiency	"1,8,21,24"
B-Lymphoblastic Leukemia/lymphoma with Recurrent Genetic Abnormality	"1,8,19,24"
Rare Constitutional Hemolytic Anemia	"1,24"
Rare Hypercholesterolemia	"1,3,5,11,21,23,24"
Plaque-Form Urticaria Pigmentosa	"1,17,24"
Typical Urticaria Pigmentosa	"1,17,24"
D-Minus Hemolytic Uremic Syndrome	"1,12,24"
Primary Immunodeficiency Due to a Defect in Adaptive Immunity	"1,8,24"
Autoinflammatory Syndrome with Immune Deficiency	"1,8,24"
Syndromic Constitutional Thrombocytopenia	"1,24"
Rare Constitutional Aplastic Anemia	"1,24"
Specific Antibody Deficiency with Normal Immunoglobulin Concentrations and Normal Numbers of B Cells	"1,8,24"
Lymphoproliferative Disease Associated with Primary Immune Disease	"1,8,24"
Syndrome with Alpha-Thalassemia As a Major Feature	"1,24"
Immune Dysregulation with Inflammatory Bowel Disease	"1,7,8,24"
Immunodeficiency Due to a Complement Cascade Component Deficiency	"1,8,24"
Other Immunodeficiency Syndromes Due to Defects in Innate Immunity	"1,8,24"
Immunodeficiency Syndrome with Autoimmunity	"1,8,24"
Immunodeficiency Predominantly Affecting Antibody Production	"1,8,24"
Constitutional Megaloblastic Anemia Due to Vitamin B12 Metabolism Disorder	"1,23,24"
Immunodeficiency Due to a Complement Regulatory Deficiency	"1,8,24"
Monosomy 7 Myelodysplasia and Leukemia Syndrome 1	"1,2,8,19,21"
"Myeloproliferative/lymphoproliferative Neoplasms, Familial"	"1,8,19,21,24"
"Hypokalemic Periodic Paralysis, Type 1"	"1,11,13,21,23,24"
Interstitial Lung Disease	"1,13,16,19,21,24"
Pyruvate Carboxylase Deficiency	"1,5,10,13,21,23,24"
"Myeloma, Multiple"	"1,13,19,21,24"
Deficiency Anemia	"1,8,16"
"Lymphoma, Hodgkin, Classic"	"1,8,19,21,24"
Hypertrophic Cardiomyopathy	"1,3,11,19,21,23,24"
Graft-Versus-Host Disease	"1,8,21,24"
Abetalipoproteinemia	"1,5,6,7,13,21,23,24"
Cinca Syndrome	"1,2,4,6,8,13,17,20,21,24"
Severe Combined Immunodeficiency	"1,8,24"
Hypereosinophilic Syndrome	"1,8,13,19,24"
Amyloidosis	"1,2,5,12,13,21,23,24"
Blau Syndrome	"1,2,6,16,17,21,24"
"Neutrophilic Dermatosis, Acute Febrile"	"1,2,8,17,21,24"
Chronic Mucocutaneous Candidiasis	"1,8,17,22,24"
"Methylmalonic Aciduria and Homocystinuria, Cblc Type"	"1,6,12,13,21,23,24"
Iron Deficiency Anemia	"1,8,23"
Whim Syndrome 1	"1,2,8,21,22,24"
Acute Erythroid Leukemia	"1,19,24"
Pyruvate Kinase Deficiency of Red Cells	"1,5,8,21,23,24"
Combined Immunodeficiency	"1,8,24"
Gray Platelet Syndrome	"1,8,21,24"
"Pyogenic Sterile Arthritis, Pyoderma Gangrenosum, and Acne"	"1,2,17,21,24"
"Neutrophilia, Hereditary"	"1,8,21,24"
Cd40 Ligand Deficiency	"1,8,21,24"
Immunodeficiency 41 with Lymphoproliferation and Autoimmunity	"1,7,8,17,21,22,24"
"Immunodeficiency 14a with Lymphoproliferation, Autosomal Dominant"	"1,8,9,16,21,22,24"
Hydrops Fetalis	"1,8,20,24"
"Porphyria, Congenital Erythropoietic"	"1,12,17,21,23,24"
Disseminated Intravascular Coagulation	"1,8,17"
Stormorken Syndrome	"1,6,11,13,21,24"
Capillary Leak Syndrome	"1,2,3,8,24"
Anaplastic Large Cell Lymphoma	"1,8,19,24"
"Vitamin D Hydroxylation-Deficient Rickets, Type 1a"	"1,2,12,21"
Dehydrated Hereditary Stomatocytosis 1 with or Without Pseudohyperkalemia and/or Perinatal Edema	"1,8,9,21,24"
Hemophilia	"1,8,11,13,21,24"
Myelodysplastic/myeloproliferative Neoplasm	"1,19,24"
Hemolytic-Uremic Syndrome	"1,8,12,24"
Fetal Hemoglobin Quantitative Trait Locus 1	"1,8,20,21,24"
Pulmonary Alveolar Microlithiasis	"1,12,16,21,24"
Mast-Cell Leukemia	"1,2,8,19,24"
Hepatosplenic T-Cell Lymphoma	"1,2,8,9,19,24"
Primary Cutaneous T-Cell Non-Hodgkin Lymphoma	"1,8,19"
Peripheral T-Cell Lymphoma	"1,8,19,24"
Plasma Cell Leukemia	"1,2,8,19,24"
Immunodeficiency 40	"1,2,8,21,22,24"
B-Lymphoblastic Leukemia/lymphoma	"1,8,19,24"
Immunodeficiency 17	"1,7,8,21,24"
Pulmonary Valve Stenosis	"1,3,16,24"
Follicular Dendritic Cell Sarcoma	"1,8,19,24"
Hemoglobin H Disease	"1,5,21,24"
Pelger-Huet Anomaly	"1,21,24"
Hypersensitivity Vasculitis	"1,3,8"
"Neutropenia, Severe Congenital, X-Linked"	"1,8,21,22,24"
"Immunodeficiency with Hyper-Igm, Type 3"	"1,8,21,24"
Migraine Without Aura	"1,6,13,21"
Complement Factor I Deficiency	"1,8,12,21,24"
Vitreoretinopathy	"1,6,24"
Porencephaly	"1,11,13,20,21,24"
Central Nervous System Lymphoma	"1,6,8,13,19,24"
Vitamin B12 Deficiency	"1,5,18,21,23"
Pulmonary Venoocclusive Disease	"1,3,8,16,21,24"
Scott Syndrome	"1,21,24"
Bowel Dysfunction	"1,7,8,21,22,24"
Fetal and Neonatal Alloimmune Thrombocytopenia	"1,8,20,24"
Obesity-Hypoventilation Syndrome	"1,3,16,23"
Mcleod Syndrome	"1,13,21,24"
Triosephosphate Isomerase Deficiency	"1,13,21,23,24"
Mismatch Repair Cancer Syndrome	"1,7,13,19,21,24"
